,user,points,state,timestamp,vaccination_time,wave_no,decision
0,390,90,V,2014-09-15 07:54:32,2014-09-10 23:05:00,1,1
1,392,90,V,2014-09-15 07:53:12,2014-09-08 14:15:00,1,1
2,148,44,R,2014-09-15 07:54:32,,1,0
3,427,90,V,2014-09-15 07:52:53,2014-09-12 00:30:00,1,1
4,70,90,V,2014-09-15 07:52:54,2014-09-08 15:45:00,1,1
5,106,100,S,2014-09-15 07:54:32,,1,0
6,166,67,R,2014-09-15 07:51:12,,1,0
7,133,100,S,2014-09-15 07:54:36,,1,0
8,184,45,R,2014-09-15 07:52:12,,1,0
9,370,100,S,2014-09-15 07:51:20,,1,0
10,251,90,V,2014-09-15 07:51:12,2014-09-08 22:30:00,1,1
11,383,100,S,2014-09-15 07:51:40,,1,0
12,272,100,S,2014-09-15 07:53:53,,1,0
13,329,75,V,2014-09-15 07:51:36,2014-09-08 15:10:00,1,1
14,21,100,S,2014-09-15 07:50:17,,1,0
15,417,90,V,2014-09-15 07:50:53,2014-09-08 14:10:00,1,1
16,32,90,V,2014-09-15 07:51:20,2014-09-08 14:40:00,1,1
17,26,81,R,2014-09-15 07:53:46,,1,0
18,397,100,S,2014-09-15 07:51:42,,1,0
19,115,51,R,2014-09-15 07:50:45,,1,0
20,7,42,R,2014-09-15 07:54:51,,1,0
21,451,44,R,2014-09-15 07:54:27,,1,0
22,165,45,R,2014-09-15 07:50:07,,1,0
23,0,100,S,2014-09-15 07:52:54,,1,0
24,455,90,V,2014-09-15 07:53:27,2014-09-08 16:55:00,1,1
25,453,39,R,2014-09-15 07:54:05,,1,0
26,355,78,V,2014-09-15 07:51:03,2014-09-08 14:40:00,1,1
27,196,100,S,2014-09-15 07:51:29,,1,0
28,479,45,R,2014-09-15 07:52:03,,1,0
29,313,90,V,2014-09-15 07:52:32,2014-09-08 14:10:00,1,1
30,37,50,V,2014-09-15 07:41:58,2014-09-08 22:55:00,1,1
31,34,38,R,2014-09-15 07:53:25,,1,0
32,295,90,V,2014-09-15 07:48:14,2014-09-08 14:25:00,1,1
33,366,57,R,2014-09-15 05:30:39,,1,0
34,58,90,V,2014-09-15 07:50:53,2014-09-08 16:40:00,1,1
35,187,40,R,2014-09-15 07:53:31,,1,0
36,284,64,V,2014-09-15 07:47:01,2014-09-08 18:05:00,1,1
37,236,40,R,2014-09-15 07:54:17,,1,0
38,323,90,V,2014-09-15 07:53:23,2014-09-08 19:30:00,1,1
39,72,38,R,2014-09-15 07:54:42,,1,0
40,322,100,S,2014-09-15 07:53:38,,1,0
41,333,44,R,2014-09-15 07:53:21,,1,0
42,341,77,R,2014-09-15 07:51:13,,1,0
43,134,49,R,2014-09-15 07:53:49,,1,0
44,315,90,V,2014-09-15 07:53:24,2014-09-08 14:10:00,1,1
45,399,43,R,2014-09-15 07:54:44,,1,0
46,282,100,S,2014-09-15 07:52:20,,1,0
47,450,100,S,2014-09-15 07:54:22,,1,0
48,439,90,V,2014-09-15 07:51:28,2014-09-08 18:20:00,1,1
49,156,90,V,2014-09-15 07:53:59,2014-09-09 06:55:00,1,1
50,464,100,S,2014-09-15 07:50:56,,1,0
51,276,90,V,2014-09-15 07:50:28,2014-09-08 16:20:00,1,1
52,217,100,S,2014-09-15 07:50:24,,1,0
53,336,100,S,2014-09-15 07:51:00,,1,0
54,303,90,V,2014-09-15 07:51:40,2014-09-08 14:40:00,1,1
55,430,90,V,2014-09-15 07:51:05,2014-09-08 14:10:00,1,1
56,206,90,V,2014-09-15 07:04:32,2014-09-08 14:40:00,1,1
57,153,52,R,2014-09-15 07:53:19,,1,0
58,443,90,V,2014-09-15 07:54:11,2014-09-09 00:45:00,1,1
59,172,90,V,2014-09-15 07:54:28,2014-09-08 14:10:00,1,1
60,367,51,V,2014-09-15 07:53:47,2014-09-09 19:10:00,1,1
61,407,58,R,2014-09-15 07:52:34,,1,0
62,304,100,S,2014-09-15 07:52:55,,1,0
63,99,90,V,2014-09-15 07:50:38,2014-09-08 14:10:00,1,1
64,5,34,R,2014-09-15 07:51:55,,1,0
65,235,100,S,2014-09-15 07:51:01,,1,0
66,328,90,V,2014-09-15 07:50:50,2014-09-08 15:30:00,1,1
67,393,90,V,2014-09-15 07:54:49,2014-09-09 12:05:00,1,1
68,291,100,S,2014-09-15 07:50:26,,1,0
69,198,90,V,2014-09-15 07:52:00,2014-09-08 22:20:00,1,1
70,428,90,V,2014-09-15 07:54:43,2014-09-08 14:15:00,1,1
71,160,44,R,2014-09-15 07:53:27,,1,0
72,212,100,S,2014-09-15 06:28:24,,1,0
73,260,53,R,2014-09-15 07:53:07,,1,0
74,255,50,R,2014-09-15 07:52:14,,1,0
75,62,100,S,2014-09-15 07:52:12,,1,0
76,24,90,V,2014-09-15 07:54:21,2014-09-08 20:05:00,1,1
77,299,39,R,2014-09-15 07:54:47,,1,0
78,365,59,R,2014-09-15 07:53:21,,1,0
79,38,100,S,2014-09-15 07:52:17,,1,0
80,129,100,S,2014-09-15 07:54:14,,1,0
81,301,100,S,2014-09-15 07:51:16,,1,0
82,389,73,R,2014-09-15 07:51:55,,1,0
83,278,90,V,2014-09-15 07:52:25,2014-09-08 14:10:00,1,1
84,149,90,V,2014-09-15 07:54:22,2014-09-08 15:05:00,1,1
85,349,90,V,2014-09-15 07:52:12,2014-09-08 16:50:00,1,1
86,363,100,S,2014-09-15 07:49:41,,1,0
87,296,90,V,2014-09-15 07:51:43,2014-09-08 15:05:00,1,1
88,65,100,S,2014-09-15 07:51:59,,1,0
89,420,82,V,2014-09-15 07:53:36,2014-09-08 15:30:00,1,1
90,394,90,V,2014-09-15 07:53:46,2014-09-08 17:40:00,1,1
91,488,60,V,2014-09-15 07:51:46,2014-09-08 14:50:00,1,1
92,253,45,R,2014-09-15 07:31:37,,1,0
93,372,90,V,2014-09-15 07:51:37,2014-09-08 23:25:00,1,1
94,54,100,S,2014-09-15 07:50:43,,1,0
95,316,56,R,2014-09-15 07:53:56,,1,0
96,426,56,V,2014-09-15 07:51:15,2014-09-08 14:15:00,1,1
97,431,100,S,2014-09-15 07:51:43,,1,0
98,254,84,V,2014-09-15 07:54:24,2014-09-08 23:15:00,1,1
99,144,90,V,2014-09-15 07:53:00,2014-09-08 14:15:00,1,1
100,137,90,V,2014-09-15 07:51:07,2014-09-08 14:20:00,1,1
101,449,90,V,2014-09-15 07:53:46,2014-09-08 16:35:00,1,1
102,154,60,V,2014-09-15 07:54:33,2014-09-08 14:10:00,1,1
103,332,41,R,2014-09-15 07:50:26,,1,0
104,224,90,V,2014-09-15 07:54:48,2014-09-08 16:30:00,1,1
105,350,100,S,2014-09-15 07:51:59,,1,0
106,13,90,V,2014-09-15 07:52:11,2014-09-08 15:50:00,1,1
107,360,90,V,2014-09-15 07:54:07,2014-09-08 14:35:00,1,1
108,437,90,V,2014-09-15 07:52:33,2014-09-08 15:50:00,1,1
109,3,90,V,2014-09-15 07:50:32,2014-09-08 14:15:00,1,1
110,197,52,V,2014-09-15 07:51:55,2014-09-08 14:40:00,1,1
111,311,70,R,2014-09-15 07:54:12,,1,0
112,25,90,V,2014-09-15 07:50:42,2014-09-09 00:40:00,1,1
113,219,65,R,2014-09-15 07:50:28,,1,0
114,146,56,R,2014-09-15 07:53:29,,1,0
115,271,90,V,2014-09-15 07:51:23,2014-09-08 14:45:00,1,1
116,387,100,S,2014-09-15 07:53:20,,1,0
117,208,100,S,2014-09-15 05:48:22,,1,0
118,228,90,V,2014-09-15 07:54:48,2014-09-08 14:55:00,1,1
119,90,39,R,2014-09-15 07:52:54,,1,0
120,327,66,R,2014-09-15 07:53:47,,1,0
121,199,59,V,2014-09-15 07:54:16,2014-09-08 15:15:00,1,1
122,277,90,V,2014-09-15 07:53:32,2014-09-08 15:20:00,1,1
123,418,90,V,2014-09-15 07:51:56,2014-09-08 14:10:00,1,1
124,107,74,V,2014-09-15 07:52:32,2014-09-08 14:10:00,1,1
125,86,90,V,2014-09-15 07:52:14,2014-09-08 14:50:00,1,1
126,36,100,S,2014-09-15 07:51:13,,1,0
127,373,29,R,2014-09-15 07:53:15,,1,0
128,307,63,R,2014-09-15 07:29:38,,1,0
129,342,90,V,2014-09-15 07:54:36,2014-09-08 14:10:00,1,1
130,169,100,S,2014-09-15 07:52:47,,1,0
131,104,90,V,2014-09-15 07:51:54,2014-09-08 19:15:00,1,1
132,448,90,V,2014-09-15 07:54:56,2014-09-09 17:15:00,1,1
133,492,90,V,2014-09-15 07:52:34,2014-09-08 19:30:00,1,1
134,230,100,S,2014-09-15 07:53:12,,1,0
135,231,49,R,2014-09-15 07:51:21,,1,0
136,287,100,S,2014-09-15 07:50:49,,1,0
137,68,100,S,2014-09-15 07:51:23,,1,0
138,22,41,R,2014-09-15 07:53:15,,1,0
139,347,90,V,2014-09-15 07:50:16,2014-09-10 19:55:00,1,1
140,362,47,R,2014-09-15 07:53:17,,1,0
141,6,90,V,2014-09-15 07:51:51,2014-09-12 00:10:00,1,1
142,273,100,S,2014-09-15 07:54:39,,1,0
143,385,100,S,2014-09-15 07:54:19,,1,0
144,477,41,R,2014-09-15 07:52:58,,1,0
145,82,90,V,2014-09-15 07:51:06,2014-09-09 17:20:00,1,1
146,116,90,V,2014-09-15 07:51:10,2014-09-08 14:10:00,1,1
147,192,59,R,2014-09-15 07:54:49,,1,0
148,73,100,S,2014-09-15 07:46:33,,1,0
149,130,90,V,2014-09-15 07:50:59,2014-09-08 17:45:00,1,1
150,16,53,R,2014-09-15 07:52:44,,1,0
151,268,100,S,2014-09-15 07:51:30,,1,0
152,66,54,V,2014-09-15 07:50:33,2014-09-08 14:55:00,1,1
153,423,51,V,2014-09-15 07:50:57,2014-09-08 14:20:00,1,1
154,343,47,R,2014-09-15 07:51:21,,1,0
155,473,90,V,2014-09-15 07:52:54,2014-09-10 17:30:00,1,1
