,user,points,state,vaccination_time,wave_no,decision,extraversion
0,88,100,S,None,5,0,3.0
1,88,100,S,None,5,0,3.0
2,434,90,V,2014-10-06 14:20:00,5,1,2.25
3,327,100,S,None,5,0,2.5
4,455,100,S,None,5,0,3.25
5,25,100,S,None,5,0,3.25
6,226,100,S,None,5,0,3.125
7,288,100,S,None,5,0,3.375
8,446,90,V,2014-10-06 16:10:00,5,1,2.375
9,311,90,V,2014-10-06 18:25:00,5,1,2.125
10,441,64,V,2014-10-06 14:35:00,5,1,3.875
11,483,90,V,2014-10-06 18:40:00,5,1,4.125
12,230,100,S,None,5,0,3.3277
13,92,90,V,2014-10-11 15:35:00,5,1,4.25
14,300,90,V,2014-10-06 14:25:00,5,1,3.625
15,173,100,S,None,5,0,2.75
16,454,100,S,None,5,0,3.125
17,267,90,V,2014-10-06 14:15:00,5,1,3.125
18,9,90,V,2014-10-06 15:30:00,5,1,4.5
19,34,100,S,None,5,0,2.375
20,388,100,S,None,5,0,3.25
21,22,100,S,None,5,0,3.75
22,337,100,S,None,5,0,2.75
23,145,59,V,2014-10-07 03:25:00,5,1,4.25
24,426,90,V,2014-10-06 14:25:00,5,1,4.0
25,212,100,S,None,5,0,4.625
26,404,100,S,None,5,0,3.5
27,211,77,V,2014-10-06 22:10:00,5,1,2.125
28,333,100,S,None,5,0,4.125
29,385,100,S,None,5,0,4.0
30,308,90,V,2014-10-06 17:05:00,5,1,3.625
31,432,100,S,None,5,0,3.625
32,270,90,V,2014-10-07 12:15:00,5,1,2.75
33,424,90,V,2014-10-06 14:15:00,5,1,3.75
34,439,90,V,2014-10-06 14:15:00,5,1,3.625
35,289,100,S,None,5,0,3.3277
36,355,90,V,2014-10-06 14:40:00,5,1,3.3277
37,197,90,V,2014-10-06 14:10:00,5,1,4.375
38,42,100,S,None,5,0,4.625
39,468,100,S,None,5,0,3.0
40,187,100,S,None,5,0,3.25
41,23,100,S,None,5,0,4.5
42,256,100,S,None,5,0,3.5
43,413,100,S,None,5,0,2.5
44,101,100,S,None,5,0,3.3277
45,100,100,S,None,5,0,3.625
46,135,90,V,2014-10-06 17:35:00,5,1,3.75
47,55,90,V,2014-10-06 14:25:00,5,1,3.5
