,user,wave_no,day,vaccinated,total_interactions,vaccinated_interactions,infected_interactions,recovered_interactions,susceptible_interactions,vaccinated_all,infected_all,recovered_all,susceptible_all,is_infected
0,158,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,158,10,2,0,173,4.0462427745664735,0.0,0.0,95.95375722543352,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
2,158,10,3,0,84,24.09638554216867,0.0,0.0,75.90361445783132,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
3,158,10,4,0,161,63.97515527950311,0.0,0.0,36.024844720496894,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
4,158,10,5,0,196,48.46938775510204,0.0,0.0,51.53061224489796,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
5,158,10,6,0,77,22.07792207792208,0.0,12.987012987012983,64.93506493506493,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
6,158,10,7,0,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
7,434,10,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,434,10,2,1,311,0.0,4.391891891891892,0.0,95.60810810810811,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
9,434,10,3,1,4,50.0,0.0,0.0,50.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
10,434,10,4,1,15,0.0,0.0,0.0,100.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
11,434,10,5,1,0,0.0,0.0,0.0,0.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
12,434,10,6,1,0,0.0,0.0,0.0,0.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
13,434,10,7,1,0,0.0,0.0,0.0,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
14,327,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,327,10,2,0,160,2.5157232704402515,0.0,0.0,97.48427672955975,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
16,327,10,3,0,171,28.07017543859649,0.0,1.1695906432748535,70.76023391812865,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,1
17,327,10,4,0,52,59.615384615384606,9.615384615384617,7.6923076923076925,23.07692307692308,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,1
18,327,10,5,0,207,48.309178743961354,0.48309178743961345,11.111111111111105,40.09661835748793,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,1
19,327,10,6,0,293,18.53281853281853,0.0,26.640926640926644,54.82625482625483,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,1
20,327,10,7,0,7,42.857142857142854,0.0,57.14285714285715,0.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,1
21,455,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,455,10,2,0,0,0.0,0.0,0.0,0.0,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
23,455,10,3,0,0,0.0,0.0,0.0,0.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
24,455,10,4,0,88,0.0,0.0,0.0,100.0,18.62348178137652,1.0121457489878543,6.882591093117409,73.48178137651821,0
25,455,10,5,0,0,0.0,0.0,0.0,0.0,19.06693711967546,0.8113590263691682,7.910750507099391,72.21095334685597,0
26,455,10,6,0,0,0.0,0.0,0.0,0.0,19.381443298969078,2.6804123711340213,9.072164948453608,68.86597938144331,0
27,455,10,7,0,1,0.0,0.0,0.0,100.0,19.918699186991873,0.6097560975609756,13.008130081300813,66.46341463414633,0
28,137,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,137,10,2,0,35,0.0,0.0,0.0,100.00000000000001,14.86761710794297,4.276985743380854,0.0,80.85539714867616,0
30,137,10,3,0,0,0.0,0.0,0.0,0.0,17.004048582995953,2.4291497975708496,4.453441295546559,76.11336032388664,0
